TRACE_FILE,AMAT_hacia_l2
400.perlbench-41B.trace.txt.gz,4095037.812
401.bzip2-226B.trace.txt.gz,11439416.585
403.gcc-16B.trace.txt.gz,12387110.770000001
410.bwaves-1963B.trace.txt.gz,10290595.787999999
416.gamess-875B.trace.txt.gz,8640218.9825
429.mcf-184B.trace.txt.gz,42540008.7375
433.milc-127B.trace.txt.gz,12551068.576000001
435.gromacs-111B.trace.txt.gz,5677825.7625
436.cactusADM-1804B.trace.txt.gz,5713731.301
437.leslie3d-134B.trace.txt.gz,5565905.6205
444.namd-120B.trace.txt.gz,5728817.3635
445.gobmk-17B.trace.txt.gz,8512012.636500001
450.soplex-247B.trace.txt.gz,29349683.934
453.povray-887B.trace.txt.gz,13879929.75
454.calculix-104B.trace.txt.gz,4166250.658
456.hmmer-191B.trace.txt.gz,5618871.785
458.sjeng-1088B.trace.txt.gz,6737037.414
459.GemsFDTD-1169B.trace.txt.gz,10994004.149
462.libquantum-1343B.trace.txt.gz,10866359.6725
464.h264ref-30B.trace.txt.gz,4221657.248
465.tonto-1769B.trace.txt.gz,14830670.714
470.lbm-1274B.trace.txt.gz,17857484.3695
471.omnetpp-188B.trace.txt.gz,14893954.3825
473.astar-153B.trace.txt.gz,5757166.3774999995
481.wrf-1170B.trace.txt.gz,5512488.534
482.sphinx3-1100B.trace.txt.gz,8677989.853
483.xalancbmk-127B.trace.txt.gz,12005182.976
400.perlbench-41B.trace.txt.gz,4095037.812
401.bzip2-226B.trace.txt.gz,11433143.749
403.gcc-16B.trace.txt.gz,12387093.458
410.bwaves-1963B.trace.txt.gz,10289491.779
416.gamess-875B.trace.txt.gz,8639597.879
429.mcf-184B.trace.txt.gz,42528785.025
433.milc-127B.trace.txt.gz,12551068.576000001
435.gromacs-111B.trace.txt.gz,5677798.775
436.cactusADM-1804B.trace.txt.gz,5713683.3440000005
437.leslie3d-134B.trace.txt.gz,5565905.6205
444.namd-120B.trace.txt.gz,5728817.3635
445.gobmk-17B.trace.txt.gz,8511886.556
450.soplex-247B.trace.txt.gz,29344814.147
453.povray-887B.trace.txt.gz,13871181.0
454.calculix-104B.trace.txt.gz,4166250.658
456.hmmer-191B.trace.txt.gz,5618818.279999999
458.sjeng-1088B.trace.txt.gz,6736969.252
459.GemsFDTD-1169B.trace.txt.gz,10994004.149
462.libquantum-1343B.trace.txt.gz,10866359.6725
464.h264ref-30B.trace.txt.gz,4221657.248
465.tonto-1769B.trace.txt.gz,14830670.714
470.lbm-1274B.trace.txt.gz,17867190.791500002
471.omnetpp-188B.trace.txt.gz,14893688.6675
473.astar-153B.trace.txt.gz,5757166.3774999995
481.wrf-1170B.trace.txt.gz,5512488.534
482.sphinx3-1100B.trace.txt.gz,8677952.241999999
483.xalancbmk-127B.trace.txt.gz,12005182.976
400.perlbench-41B.trace.txt.gz,4095037.812
401.bzip2-226B.trace.txt.gz,11348098.351
403.gcc-16B.trace.txt.gz,12386828.368
410.bwaves-1963B.trace.txt.gz,10287421.963
416.gamess-875B.trace.txt.gz,8637007.895
429.mcf-184B.trace.txt.gz,42244690.5
433.milc-127B.trace.txt.gz,12551068.576000001
435.gromacs-111B.trace.txt.gz,5676835.3
436.cactusADM-1804B.trace.txt.gz,5711502.711
437.leslie3d-134B.trace.txt.gz,5565905.6205
444.namd-120B.trace.txt.gz,5728758.587
445.gobmk-17B.trace.txt.gz,8505815.8655
450.soplex-247B.trace.txt.gz,29168617.9385
453.povray-887B.trace.txt.gz,13789623.5
454.calculix-104B.trace.txt.gz,4166250.658
456.hmmer-191B.trace.txt.gz,5618228.7
458.sjeng-1088B.trace.txt.gz,6736004.257999999
459.GemsFDTD-1169B.trace.txt.gz,10994004.149
462.libquantum-1343B.trace.txt.gz,10866359.6725
464.h264ref-30B.trace.txt.gz,4221657.248
465.tonto-1769B.trace.txt.gz,14830670.714
470.lbm-1274B.trace.txt.gz,17696345.5685
471.omnetpp-188B.trace.txt.gz,14891467.8495
473.astar-153B.trace.txt.gz,5755886.5575
481.wrf-1170B.trace.txt.gz,5512470.3415
482.sphinx3-1100B.trace.txt.gz,8674702.771
483.xalancbmk-127B.trace.txt.gz,12005166.464000002
400.perlbench-41B.trace.txt.gz,4095037.812
401.bzip2-226B.trace.txt.gz,11353439.502999999
403.gcc-16B.trace.txt.gz,12386777.514
410.bwaves-1963B.trace.txt.gz,10279570.161
416.gamess-875B.trace.txt.gz,8629960.511
429.mcf-184B.trace.txt.gz,42221347.5375
433.milc-127B.trace.txt.gz,12551068.576000001
435.gromacs-111B.trace.txt.gz,5676701.0
436.cactusADM-1804B.trace.txt.gz,5712252.012
437.leslie3d-134B.trace.txt.gz,5565905.6205
444.namd-120B.trace.txt.gz,5728572.2065
445.gobmk-17B.trace.txt.gz,8503814.5515
450.soplex-247B.trace.txt.gz,29167761.154
453.povray-887B.trace.txt.gz,13777862.25
454.calculix-104B.trace.txt.gz,4166250.658
456.hmmer-191B.trace.txt.gz,5618197.95
458.sjeng-1088B.trace.txt.gz,6735542.347999999
459.GemsFDTD-1169B.trace.txt.gz,10994004.149
462.libquantum-1343B.trace.txt.gz,10866359.6725
464.h264ref-30B.trace.txt.gz,4221657.248
465.tonto-1769B.trace.txt.gz,14830670.714
470.lbm-1274B.trace.txt.gz,17696345.5685
471.omnetpp-188B.trace.txt.gz,14882254.5315
473.astar-153B.trace.txt.gz,5755672.29
481.wrf-1170B.trace.txt.gz,5512406.7635
482.sphinx3-1100B.trace.txt.gz,8674631.728
483.xalancbmk-127B.trace.txt.gz,12005166.464000002
