TRACE_FILE,repl_policy,total_misses,miss_rate
400.perlbench-41B.trace.txt.gz,l,235,0.024
400.perlbench-41B.trace.txt.gz,r,345,0.035
401.bzip2-226B.trace.txt.gz,l,18860,1.886
401.bzip2-226B.trace.txt.gz,r,18488,1.849
403.gcc-16B.trace.txt.gz,l,21639,2.164
403.gcc-16B.trace.txt.gz,r,28386,2.839
410.bwaves-1963B.trace.txt.gz,l,16065,1.607
410.bwaves-1963B.trace.txt.gz,r,26331,2.633
416.gamess-875B.trace.txt.gz,l,11729,1.173
416.gamess-875B.trace.txt.gz,r,11785,1.179
429.mcf-184B.trace.txt.gz,l,107254,10.725
429.mcf-184B.trace.txt.gz,r,107447,10.745
433.milc-127B.trace.txt.gz,l,22083,2.208
433.milc-127B.trace.txt.gz,r,22341,2.234
435.gromacs-111B.trace.txt.gz,l,4248,0.425
435.gromacs-111B.trace.txt.gz,r,4754,0.475
436.cactusADM-1804B.trace.txt.gz,l,4344,0.434
436.cactusADM-1804B.trace.txt.gz,r,10098,1.010
437.leslie3d-134B.trace.txt.gz,l,3968,0.397
437.leslie3d-134B.trace.txt.gz,r,4406,0.441
444.namd-120B.trace.txt.gz,l,4368,0.437
444.namd-120B.trace.txt.gz,r,5428,0.543
445.gobmk-17B.trace.txt.gz,l,11407,1.141
445.gobmk-17B.trace.txt.gz,r,16319,1.632
450.soplex-247B.trace.txt.gz,l,67734,6.773
450.soplex-247B.trace.txt.gz,r,71187,7.119
453.povray-887B.trace.txt.gz,l,25001,2.500
453.povray-887B.trace.txt.gz,r,26525,2.652
454.calculix-104B.trace.txt.gz,l,420,0.042
454.calculix-104B.trace.txt.gz,r,471,0.047
456.hmmer-191B.trace.txt.gz,l,4097,0.410
456.hmmer-191B.trace.txt.gz,r,5987,0.599
458.sjeng-1088B.trace.txt.gz,l,6924,0.692
458.sjeng-1088B.trace.txt.gz,r,9677,0.968
459.GemsFDTD-1169B.trace.txt.gz,l,17978,1.798
459.GemsFDTD-1169B.trace.txt.gz,r,21860,2.186
462.libquantum-1343B.trace.txt.gz,l,17649,1.765
462.libquantum-1343B.trace.txt.gz,r,17827,1.783
464.h264ref-30B.trace.txt.gz,l,555,0.056
464.h264ref-30B.trace.txt.gz,r,692,0.069
465.tonto-1769B.trace.txt.gz,l,28139,2.814
465.tonto-1769B.trace.txt.gz,r,28394,2.839
470.lbm-1274B.trace.txt.gz,l,35867,3.587
470.lbm-1274B.trace.txt.gz,r,38781,3.878
471.omnetpp-188B.trace.txt.gz,l,27971,2.797
471.omnetpp-188B.trace.txt.gz,r,37388,3.739
473.astar-153B.trace.txt.gz,l,4449,0.445
473.astar-153B.trace.txt.gz,r,5141,0.514
481.wrf-1170B.trace.txt.gz,l,3834,0.383
481.wrf-1170B.trace.txt.gz,r,4589,0.459
482.sphinx3-1100B.trace.txt.gz,l,11943,1.194
482.sphinx3-1100B.trace.txt.gz,r,14201,1.420
483.xalancbmk-127B.trace.txt.gz,l,20642,2.064
483.xalancbmk-127B.trace.txt.gz,r,21990,2.199
